Experiment No,momentum,width,weight_decay,learning rate,batch_size,skip connection,batch normalization,train_loss,generalization gap,$\epsilon$ sharpness,Pac Bayes,$||H||_{F}$,FRN,Classical Entropy,Local Entropy,Tr(H),Low pass filter
142,0.9,4,0.0001,0.0075,512,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
143,0.9,4,0.0005,0.0075,512,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
144,0.0,4,0.0,0.005,512,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
145,0.0,4,0.0001,0.005,512,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
146,0.0,4,0.0005,0.005,512,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
147,0.0,4,0.0,0.005,512,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
148,0.0,4,0.0001,0.005,512,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
149,0.0,4,0.0005,0.005,512,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
150,0.5,4,0.0,0.005,512,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
151,0.5,4,0.0001,0.005,512,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
152,0.5,4,0.0005,0.005,512,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
153,0.5,4,0.0,0.005,512,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
154,0.5,4,0.0001,0.005,512,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
155,0.5,4,0.0005,0.005,512,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
156,0.9,4,0.0,0.005,512,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
157,0.9,4,0.0001,0.005,512,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
158,0.9,4,0.0005,0.005,512,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
159,0.9,4,0.0,0.005,512,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
160,0.9,4,0.0001,0.005,512,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
161,0.9,4,0.0005,0.005,512,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
162,0.0,4,0.0,0.01,32,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
163,0.0,4,0.0001,0.01,32,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
164,0.0,4,0.0005,0.01,32,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
165,0.0,4,0.0,0.01,32,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
166,0.0,4,0.0001,0.01,32,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
167,0.0,4,0.0005,0.01,32,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
168,0.5,4,0.0,0.01,32,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
169,0.5,4,0.0001,0.01,32,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
170,0.5,4,0.0005,0.01,32,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
171,0.5,4,0.0,0.01,32,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
172,0.5,4,0.0001,0.01,32,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
173,0.5,4,0.0005,0.01,32,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
174,0.9,4,0.0,0.01,32,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
175,0.9,4,0.0001,0.01,32,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
176,0.9,4,0.0005,0.01,32,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
177,0.9,4,0.0,0.01,32,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
178,0.9,4,0.0001,0.01,32,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
179,0.9,4,0.0005,0.01,32,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
180,0.0,4,0.0,0.0075,32,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
181,0.0,4,0.0001,0.0075,32,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
182,0.0,4,0.0005,0.0075,32,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
183,0.0,4,0.0,0.0075,32,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
184,0.0,4,0.0001,0.0075,32,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
185,0.0,4,0.0005,0.0075,32,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
186,0.5,4,0.0,0.0075,32,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,
